dma,state,total_blocks,unique_blocks_to_suppress,total_suppression_records,retention_rate_pct
"Wheeling-Steubenville, WV-OH",Ohio,5,4,12,20.0
"Grand Junction-Montrose, CO",Colorado,6,4,10,33.33333333333333
"Unmeasured Alaska, AK",Alaska,6,4,7,33.33333333333333
"Joplin-Pittsburg, MO-KS-OK",Oklahoma,5,4,7,20.0
"Rapid City, SD-WY-MT",Wyoming,5,4,12,20.0
"Portland-Auburn, ME-NH",New Hampshire,6,4,9,33.33333333333333
"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",Tennessee,4,4,7,0.0
"Myrtle Beach-Florence, SC-NC",North Carolina,5,4,8,20.0
"Palm Springs, CA",California,9,4,12,55.55555555555556
"El Paso, TX-NM",New Mexico,5,4,8,20.0
"Burlington-Plattsburgh, VT-NY-NH",New York,5,4,12,20.0
"Victoria, TX",Texas,5,4,16,20.0
"Salt Lake City, UT-WY-NV-ID",Idaho,4,4,7,0.0
"Terre Haute, IN-IL",Illinois,4,3,6,25.0
"Helena, MT",Montana,5,3,4,40.0
"Greenville-Spartanburg-Asheville-Anderson, SC-NC-GA",Georgia,4,3,8,25.0
"Huntsville-Decatur, AL-TN",Tennessee,3,3,7,0.0
"Ft. Smith-Fayetteville-Springdale-Rogers, AR-OK",Oklahoma,3,3,5,0.0
"Jacksonville, FL-GA",Georgia,3,3,11,0.0
"Billings, MT-WY",Wyoming,3,3,6,0.0
"Shreveport, LA-TX-AR-OK",Oklahoma,3,3,9,0.0
"Sioux Falls, SD-MN-IA-NE",Minnesota,4,3,6,25.0
"Fairbanks, AK",Alaska,6,3,5,50.0
"Evansville, IN-KY-IL",Illinois,4,3,7,25.0
"Denver, CO-WY-NE",Wyoming,3,3,8,0.0
"Cheyenne-Scottsbluff, WY-NE",Wyoming,6,3,9,50.0
"Minot-Bismarck-Dickinson, ND-MT-SD",Montana,3,3,5,0.0
"La Crosse-Eau Claire, WI-MN",Minnesota,3,3,5,0.0
"Laredo, TX",Texas,5,3,11,40.0
"Harrisonburg, VA-WV",West Virginia,3,3,5,0.0
"Eureka, CA",California,7,3,7,57.14285714285714
"Albuquerque-Santa Fe, NM-CO-AZ",Colorado,2,2,3,0.0
"Meridian, MS-AL",Alabama,3,2,6,33.33333333333333
"Ft. Wayne, IN-OH",Ohio,2,2,6,0.0
"Quincy-Hannibal-Keokuk, IL-MO-IA",Iowa,2,2,6,0.0
"Pittsburgh, PA-WV-MD",Maryland,2,2,8,0.0
"Elmira, NY-PA",Pennsylvania,3,2,4,33.33333333333333
"New York, NY-NJ-CT-PA",Pennsylvania,2,2,5,0.0
"Amarillo, TX-NM-OK",Oklahoma,2,2,4,0.0
"Washington, DC-VA-MD-WV-PA",Pennsylvania,2,2,3,0.0
"Tulsa, OK-KS",Kansas,2,2,3,0.0
"Toledo, OH-MI",Michigan,6,2,4,66.66666666666666
"Salt Lake City, UT-WY-NV-ID",Nevada,2,2,7,0.0
"San Angelo, TX",Texas,5,2,6,60.0
"Boston, MA-NH-VT",Vermont,3,2,3,33.33333333333333
"Boise, ID-OR",Oregon,2,2,3,0.0
"Medford-Klamath Falls, OR-CA",California,1,1,2,0.0
"Lincoln & Hastings-Kearney, NE-KS",Kansas,1,1,2,0.0
"Atlanta, GA-AL-NC",Alabama,1,1,2,0.0
"Alpena, MI",Michigan,2,1,2,50.0
"Cheyenne-Scottsbluff, WY-NE",Nebraska,1,1,6,0.0
"Roanoke-Lynchburg, VA-WV",West Virginia,1,1,1,0.0
"Parkersburg, WV-OH",Ohio,1,1,2,0.0
"Columbus-Tupelo-West Point-Houston, MS-AL",Alabama,1,1,2,0.0
"Ottumwa-Kirksville, IA-MO",Missouri,1,1,2,0.0
"Ottumwa-Kirksville, IA-MO",Iowa,1,1,1,0.0
"Greensboro-High Point-Winston Salem, NC-VA",Virginia,2,1,1,50.0
"Dothan, AL-GA",Georgia,1,1,2,0.0
"Sioux Falls, SD-MN-IA-NE",Nebraska,1,1,1,0.0
"Buffalo, NY-PA",Pennsylvania,2,1,1,50.0
"Sioux City, IA-NE-SD",South Dakota,1,1,2,0.0
"Cincinnati, OH-KY-IN",Indiana,3,1,2,66.66666666666666
"Bend, OR",Oregon,1,1,1,0.0
"Tri-Cities, TN-VA-KY",Kentucky,1,1,3,0.0
"Yuma-El Centro, AZ-CA",California,6,1,2,83.33333333333334
"Zanesville, OH",Ohio,4,1,4,75.0
