the_date,state,dma_name,winner,loser,current_wins,rolling_avg,rolling_stddev,z_score,pct_increase,is_first_appearance,is_outlier,outlier_reason
2025-03-08,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,32.0,8.333333333333334,13.576941236277534,1.7431515872978387,283.99999999999994,False,True,Z-Score > 1.5
2025-03-08,Missouri,"Kansas City, MO",Google Fiber,Spectrum,10.0,5.666666666666667,2.516611478423583,1.721892064184557,76.47058823529412,False,True,Z-Score > 1.5
2025-03-08,Pennsylvania,"Philadelphia, PA",T-Mobile FWA,Comcast,18.0,6.333333333333333,6.8068592855540455,1.7139573740603715,184.21052631578948,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",T-Mobile FWA,Spectrum,14.0,4.333333333333333,5.773502691896257,1.674315780649915,223.07692307692312,False,True,Z-Score > 1.5
2025-03-08,Illinois,"Chicago, IL",Comcast,T-Mobile FWA,20.0,7.0,7.810249675906654,1.6644794391276478,185.71428571428572,False,True,Z-Score > 1.5
2025-03-08,Illinois,"Chicago, IL",Comcast,AT&T,20.0,7.333333333333333,7.767453465154029,1.6307360866069234,172.72727272727275,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",T-Mobile FWA,Altice,11.0,4.666666666666667,4.041451884327381,1.5670935878004126,135.7142857142857,False,True,Z-Score > 1.5
2025-03-08,Illinois,"Chicago, IL",AT&T,Comcast,24.0,8.666666666666666,9.814954576223638,1.5622419048660463,176.92307692307693,False,True,Z-Score > 1.5
2025-03-08,New York,"New York, NY",Spectrum,Comcast,11.0,3.3333333333333335,4.932882862316247,1.5541959703188177,229.99999999999997,False,True,Z-Score > 1.5
2025-03-08,Florida,"Jacksonville, FL",AT&T,Comcast,11.0,3.0,5.196152422706632,1.539600717839002,266.66666666666663,False,True,Z-Score > 1.5
2025-03-08,Maryland,"Washington, DC",Verizon,Comcast,19.0,9.0,6.557438524302,1.5249857033260468,111.11111111111111,False,True,Z-Score > 1.5
2025-03-08,Tennessee,"Nashville, TN",AT&T,Comcast,11.0,5.0,4.58257569495584,1.3093073414159544,120.0,False,True,Pct Increase > 30%
2025-03-08,Pennsylvania,"Pittsburgh, PA",Comcast,Spectrum,13.0,4.666666666666667,7.234178138070234,1.1519391939602284,178.57142857142853,False,True,Pct Increase > 30%
2025-03-08,Colorado,"Denver, CO",CenturyLink,Comcast,19.0,8.0,9.848857801796104,1.116880781646981,137.5,False,True,Pct Increase > 30%
2025-03-08,New Jersey,"New York, NY",Altice,Comcast,16.0,24.0,7.810249675906654,-1.0242950394631678,-33.33333333333333,False,True,Other
2025-03-08,New York,"New York, NY",Altice,T-Mobile FWA,11.0,6.333333333333333,4.725815626252609,0.9874838622020375,73.6842105263158,False,True,Pct Increase > 30%
2025-03-08,New Jersey,"New York, NY",Verizon,Altice,16.0,25.333333333333332,10.408329997330664,-0.8967176613084877,-36.84210526315789,False,True,Other
2025-03-08,New Jersey,"New York, NY",Verizon,Comcast,25.0,16.333333333333332,10.408329997330664,0.8326663997864532,53.06122448979593,False,True,Pct Increase > 30%
2025-03-08,Missouri,"St. Louis, MO",Spectrum,AT&T,11.0,5.666666666666667,6.429100507328637,0.8295613557843401,94.11764705882352,False,True,Pct Increase > 30%
2025-03-08,North Carolina,"Charlotte, NC",T-Mobile FWA,Spectrum,11.0,6.0,9.539392014169456,0.5241424183609592,83.33333333333334,False,True,Pct Increase > 30%
